Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
"Human Rights (BA) + International Development (MA), University of Sussex",Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts/Master of Arts, BA/MA",Low 70s,Field placement,"4,432										(all Faculty of Arts programs combined)",English
Human Rights (Honours Arts),Trent University,"Bachelor of Arts, BA",Below 75 per cent,Co-op available with a different program code,200,English
Human Rights (Honours Arts) - Co-op,Trent University,"Bachelor of Arts, BA",Below 75 per cent,Co-op program,200,English
Human Rights (Honours Arts) - Co-op,Trent University,"Bachelor of Arts, BA",Above 80%,Co-op program,20,English
Human Rights Law,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op available with a different program code,N/A,English
Human Rights Law (Co-op),Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Human Rights Studies,Western University – King's University College,"Bachelor of Arts, BA",80%,Class-based experiential education,60,English
Humanities,University of Toronto Mississauga,"Bachelor of Arts, BA",Mid to high 70s,Practicum or internship option available,150,English
Humanities,University of Toronto,"Bachelor of Arts, BA",Low to mid-80s,Co-op available by major,N/A,English
Humanities,Carleton University,"Bachelor of Humanities, BHum",80–84%,Not Available,50										(total for all Humanities programs),English
"Humanities (BA, iBA)",York University,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid-70s,Practicum or internship option available,50										Open,English
Humanities I,McMaster University,"Bachelor of Arts, BA",High 70s to low 80s,Practicum or internship option available,480,English
Humanities and Biology,Carleton University,"Bachelor of Humanities, BHum",80–84%,Not Available,85										(total for Humanities programs),English
Illustration,OCAD University,"Bachelor of Design, BDes",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Image Arts: Film,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Fine Arts, BFA",Mid-70s,Practicum or internship option available,99,English
Image Arts: Photography Media Arts,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Fine Arts, BFA",Mid 70s,Practicum or internship option available,65,English
Indigenous Bachelor of Education (BEd),Trent University,"Bachelor of Arts/Bachelor of Education, BA/BEd",70% minimum,Practicum or internship option available,75,English
Indigenous Environmental Science (BSc),Trent University,"Bachelor of Science, BSc",N/A,Practicum or internship option available,200,English
Indigenous Environmental Studies (BA),Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Indigenous Environmental Studies (Dipl.),Trent University,"Diploma, Dipl.",N/A,Not Available,200,English
Indigenous Environmental Studies (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",N/A,Co-op program,50,English
Indigenous Learning (Thunder Bay),Lakehead University,"Bachelor of Arts, BA",70%,Not Available,Open Enrollment,English
Indigenous Social Work,Laurentian University,"Bachelor of Social Work, BSW",70%,Field placement,Limited,English
Indigenous Studies,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Indigenous Studies (BA in combination),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Low 70s,Class-based experiential education,577										(all Faculty of Liberal Arts programs combined),English
Indigenous Studies (BA),York University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,20										Open,English
Indigenous Studies (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",80%,Co-op program,20,English
Indigenous Studies and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Indigenous Visual Culture,OCAD University,"Bachelor of Fine Arts, BFA",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Industrial Design,OCAD University,"Bachelor of Design, BDes",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Industrial Design (regular and co-op),Carleton University,"Bachelor of Industrial Design, BID",75-77% (regular and co-op),Co-op option available with this program,45,English
Industrial Engineering,University of Toronto,"Bachelor of Applied Science, BASc",High 80s to low 90s,Co-op or internship option available,N/A,English
Industrial Engineering,Ontario Tech University,"Bachelor of Engineering, BEng
Bachelor of Engineering and Management, BEng&Mgt",Above 75%,Co-op or internship option available,40,English
Industrial Engineering,University of Windsor,"Bachelor of Applied Science, BASc",74-87%,Co-op option available with this program,400										Total enrollment includes all Engineering programs,English
Industrial Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Engineering, BEng",Low 80s,Co-op option available with this program,56,English
Industrial Engineering (Co-op),Ontario Tech University,"Bachelor of Engineering, BEng
Bachelor of Engineering and Management, BEng&Mgt",Above 75%,Co-op or internship option available,40,English
Information Law,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op available with a different program code,N/A,English
Information Law (Co-op),Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op program,N/A,English
Information Systems & Business,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70%,Practicum or internship option available,200,English
Information Systems & Media Studies,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70%,Practicum or internship option available,200,English
Information Systems (BA),Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Information Systems (BSc),Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Information Systems and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Information Technology (BA),York University,"Bachelor of Arts, BA",Mid-70s,Co-op or internship option available,125										Open,English
Information Technology (BCom),York University,"Bachelor of Commerce, BCom",Low 80s,Practicum or internship option available,30										Open,English
Information Technology – Information Resource Management (regular and co-op) (program offered jointly with Algonquin College),Carleton University,"Bachelor of Information Technology, BIT",75–77% (regular and co-op),Co-op option available with this program,180										(total for all Information Technology programs),English
Information Technology – Interactive Multimedia and Design (regular and co-op) (program offered jointly with Algonquin College),Carleton University,"Bachelor of Information Technology, BIT",75–77% (regular and co-op),Co-op option available with this program,180										(total for all Information Technology programs),English
Information Technology – Network Technology (regular and co-op) (program offered jointly with Algonquin College),Carleton University,"Bachelor of Information Technology, BIT",75–77% (regular and co-op),Co-op option available with this program,180										(total for all Information Technology programs),English
Information Technology – Optical Systems and Sensors (regular and co-op) (program offered jointly with Algonquin College),Carleton University,"Bachelor of Information Technology, BIT",75–77%,Co-op option available with this program,180										(total for all Information Technology programs),English
Integrated Biomedical Engineering & Health Sciences,McMaster University,"Bachelor of Engineering, BEng
Bachelor of Health Sciences, BHSc",A minimum of +90% is required for consideration. Admission is by selection.,Co-op option available with this program,155										(total for OUAC codes MEI - co-op and MEH - non-co-op),English
Integrated Biomedical Engineering & Health Sciences (Co-op),McMaster University,"Bachelor of Engineering, BEng
Bachelor of Health Sciences, BHSc",A minimum of +90% is required for consideration. Admission is by selection.,Co-op option available with this program,155										(total for OUAC codes MEI - co-op and MEH - non-co-op),English
Integrated Business & Humanities,McMaster University,"Bachelor of Commerce, BComm
Bachelor of Commerce, BCom",Admission is by selection. A minimum of 88-92% is required for consideration.,Co-op or internship application available at the university after registration,60,English
